url,pos_ratio,neg_ratio,num,pos_sigm,neg_sigm
mail.ru,0.016202531645569618,0.9837974683544304,7900,0.016200897480223804,0.9836982438773393
baza.drom.ru,0.0,1.0,1042,0.0,0.9992289019778874
www.olx.ua,0.0,1.0,945,0.0,0.9991489060758436
irecommend.ru,0.0,1.0,767,0.0,0.9989487822689295
daftsex.com,1.0,0.0,741,0.9989113931423196,0.0
youla.ru,0.0,1.0,737,0.0,0.9989054036055978
fotostrana.ru,0.0,1.0,687,0.0,0.9988245626317621
biqle.ru,0.9984802431610942,0.001519756838905817,658,0.9972540681777127,0.0015178905147301982
manga-online.biz,0.0,1.0,616,0.0,0.9986868478530231
zaycev.net,0.00333889816360601,0.9966611018363941,599,0.0033343871368142312,0.9953145603390481
www.farpost.ru,0.0,1.0,573,0.0,0.9985865550885347
infourok.ru,0.0,1.0,567,0.0,0.9985713296734868
m.babyblog.ru,0.0,1.0,559,0.0,0.9985505114480837
libking.ru,0.0056710775047258966,0.994328922495274,529,0.005662382196086608,0.9928043450471855
v-s.mobi,0.021153846153846155,0.9788461538461538,520,0.021120839171351314,0.9773188307470744
www.mamba.ru,0.004329004329004329,0.9956709956709956,462,0.004321382919579008,0.9939180715031718
www.liveinternet.ru,0.0,1.0,409,0.0,0.9980056032530034
prom.ua,0.0,1.0,398,0.0,0.9979490626205005
cyberleninka.ru,0.0,1.0,376,0.0,0.9978257859573149
pikabu.ru,0.010899182561307902,0.989100817438692,367,0.010874888017530766,0.9868960875909171
www.drive2.ru,0.0,1.0,363,0.0,0.9977457183814976
www.mvideo.ru,0.0,1.0,295,0.0,0.9972078796293277
www.olx.kz,0.0,1.0,289,0.0,0.997147837210023
www.citilink.ru,0.0,1.0,284,0.0,0.9970957933062551
olx.uz,0.0,1.0,270,0.0,0.9969394223376746
www.rusprofile.ru,0.0,1.0,260,0.0,0.9968170072350918
studopedia.ru,0.0,1.0,257,0.0,0.9967783500281752
m.perfectgirls.net,1.0,0.0,256,0.9967652547898721,0.0
www.bolshoyvopros.ru,0.0,1.0,247,0.0,0.9966424253089041
ancensored.com,1.0,0.0,241,0.9965552222995246,0.0
m.stoloto.ru,0.0,1.0,241,0.0,0.9965552222995246
otzovik.com,0.0,1.0,241,0.0,0.9965552222995246
nice-books.ru,0.0,1.0,235,0.0,0.9964633690224252
m.blablacar.ru,0.0,1.0,228,0.0,0.996349817277807
fastpic.ru,0.0,1.0,225,0.0,0.9962988890545381
gdz.ru,0.0,1.0,212,0.0,0.9960607223304205
myzcloud.me,0.0,1.0,203,0.0,0.9958770455319741
www.ivi.ru,0.0,1.0,200,0.0,0.9958119537051624
rutube.ru,0.0,1.0,199,0.0,0.9957897973075938
www.labirint.ru,0.0,1.0,194,0.0,0.9956754035174853
www.asos.com,0.0,1.0,193,0.0,0.9956517747744835
dic.academic.ru,0.0,1.0,192,0.0,0.9956278864236827
www.pornktube.porn,1.0,0.0,190,0.995579313595893,0.0
www.superjob.ru,0.0,1.0,189,0.0,0.9955546202259271
www.consultant.ru,0.0,1.0,187,0.0,0.9955043965880148
sudact.ru,0.0,1.0,186,0.0,0.9954788568123936
www.kino-teatr.ru,0.0,1.0,183,0.0,0.9954004663053833
www.yaplakal.com,0.0055248618784530384,0.994475138121547,181,0.005499152918284594,0.989847525291227
loveplanet.ru,0.0,1.0,180,0.0,0.9953193096625532
